model_label,segment_type,segment_value,count,r2,mae,rmse,mape,mdape
XGBoost_log1p,UnifiedSchoolDistrict,Rialto Unified,56.0,0.8095533172597159,30085.850714285716,42425.69643514223,5.3506926331224225,3.746647667050687
XGBoost_log1p,UnifiedSchoolDistrict,Rim of the World Unified,87.0,0.7025773625144484,113404.6177011494,189244.31563964317,16.925013625105485,11.644440122256189
XGBoost_log1p,UnifiedSchoolDistrict,Riverside Unified,147.0,0.8781619870188783,58699.63142857142,85998.17758254628,7.366384960096617,5.94595063375584
XGBoost_log1p,UnifiedSchoolDistrict,Rowland Unified,21.0,0.8870516767637614,78721.71285714283,114124.75127066899,9.287147398554739,4.744758940145819
XGBoost_log1p,UnifiedSchoolDistrict,Saddleback Valley Unified,115.0,0.9249285763665203,113929.14347826087,171265.81808704295,6.961531227286423,5.208661224489804
XGBoost_log1p,UnifiedSchoolDistrict,San Bernardino City Unified,109.0,0.7956184922399743,49788.393486238536,74131.84478211391,10.444697833080708,6.997901234567899
XGBoost_log1p,UnifiedSchoolDistrict,San Diego Unified,338.0,0.872849761138053,183815.2453550296,320050.51508053875,10.885547845298367,7.840229166666667
XGBoost_log1p,UnifiedSchoolDistrict,San Francisco Unified,17.0,0.7741581405935164,302117.5882352941,410622.56742823485,19.86875715642124,10.558219895287959
XGBoost_log1p,UnifiedSchoolDistrict,San Gabriel Unified,12.0,0.8003684163928312,184250.4208333333,216301.5838526428,11.812887875954473,12.050548614926742
XGBoost_log1p,UnifiedSchoolDistrict,San Jacinto Unified,38.0,0.3988482498637227,37474.23447368421,65550.49576095137,6.86776660246669,5.602624209601879
XGBoost_log1p,UnifiedSchoolDistrict,San Jose Unified,86.0,0.8597313876507158,252256.63906976747,347882.1716115285,13.01079122693189,10.975997557997555
XGBoost_log1p,UnifiedSchoolDistrict,San Leandro Unified,20.0,-0.40474932007488507,105582.98300000001,138645.33571703846,10.847511141823194,7.819074413473229
XGBoost_log1p,UnifiedSchoolDistrict,San Lorenzo Unified,25.0,0.18257192891224006,57067.834,77574.24492292434,6.621887044475218,5.5090639106676225
XGBoost_log1p,UnifiedSchoolDistrict,San Lorenzo Valley Unified,20.0,-0.09822722535652595,162889.40999999997,246833.94062411843,16.964232530565916,10.673306430132659
XGBoost_log1p,UnifiedSchoolDistrict,San Luis Coastal Unified,55.0,0.7663157188750819,183343.2356363636,256816.14420648164,13.548731241834366,11.531921428571422
XGBoost_log1p,UnifiedSchoolDistrict,San Marcos Unified,70.0,0.8416420066430388,187495.5491428571,272560.32199077174,11.68484954021065,9.240563241106722
XGBoost_log1p,UnifiedSchoolDistrict,San Marino Unified,14.0,0.8601438699934657,470812.0142857143,665123.2461870164,15.265717392123358,13.888141616827369
XGBoost_log1p,UnifiedSchoolDistrict,San Ramon Valley Unified,98.0,0.78795463637655,233093.1918367347,325978.95152537135,10.217838629646057,8.489098153873734
XGBoost_log1p,UnifiedSchoolDistrict,Santa Ana Unified,35.0,0.47829117695821943,154164.9165714286,287367.06730223534,13.60523401405761,7.680354166666669
XGBoost_log1p,UnifiedSchoolDistrict,Santa Barbara Unified,13.0,0.8622427437019342,444074.06923076924,581611.8672551487,15.439886315007435,13.576896551724138
XGBoost_log1p,UnifiedSchoolDistrict,Santa Clara Unified,27.0,0.448814710855733,264164.31481481483,358488.32761967095,14.283252541769567,9.34995155709343
XGBoost_log1p,UnifiedSchoolDistrict,Santa Monica-Malibu Unified,21.0,0.6957883767050044,788355.1952380952,1071185.3197395306,16.68276317952371,13.58858040201005
XGBoost_log1p,UnifiedSchoolDistrict,Santa Paula Unified,13.0,0.8379984207202494,64683.87615384615,81123.40261045612,7.41039141013766,7.59285483870967
XGBoost_log1p,UnifiedSchoolDistrict,Scotts Valley Unified,10.0,0.4762276259614302,140519.96,214479.52416695637,9.209745946133827,3.8685340037712086
XGBoost_log1p,UnifiedSchoolDistrict,Simi Valley Unified,75.0,0.9632554395549633,49168.453066666676,69090.98976995825,5.229880972135821,4.40347196738023
XGBoost_log1p,UnifiedSchoolDistrict,Snowline Joint Unified,33.0,0.7619411578655471,43929.05575757576,63177.284872466524,8.684559837165136,7.101983193277318
XGBoost_log1p,UnifiedSchoolDistrict,South San Francisco Unified,12.0,0.5727374037064523,137444.61333333334,171732.45304032124,10.704875750521744,10.127544917731875
XGBoost_log1p,UnifiedSchoolDistrict,Southern Kern Unified,20.0,0.7316142967504256,25855.529000000002,32279.736667681478,6.265331208969712,5.324470059880241
XGBoost_log1p,UnifiedSchoolDistrict,Tehachapi Unified,10.0,0.08322487814354207,98063.29399999998,152220.52366178602,17.39259167668017,12.37042690730106
XGBoost_log1p,UnifiedSchoolDistrict,Temecula Valley Unified,151.0,0.9245162394746187,53432.32682119205,92166.01834411667,5.659709211103351,4.590212121212121
XGBoost_log1p,UnifiedSchoolDistrict,Temple City Unified,14.0,0.6167265576046839,203823.39214285713,363680.08003905084,15.25447997407806,6.095586425141862
XGBoost_log1p,UnifiedSchoolDistrict,Torrance Unified,65.0,0.7338727721463818,185918.0772307692,241438.64455225074,12.764649773820283,11.438307692307692
XGBoost_log1p,UnifiedSchoolDistrict,Tracy Joint Unified,12.0,0.76407241359581,55539.251666666656,63510.63566497674,7.11932411881099,7.402631936340434
XGBoost_log1p,UnifiedSchoolDistrict,Tustin Unified,49.0,0.9119060959198022,230997.91061224492,385609.511982568,9.554093710124917,6.1617680000000075
XGBoost_log1p,UnifiedSchoolDistrict,Upland Unified,33.0,0.8922540840054951,82047.06909090909,112612.48666566152,8.313950193454753,5.676590405904062
XGBoost_log1p,UnifiedSchoolDistrict,Val Verde Unified,37.0,0.6088231077157507,41267.71324324323,61770.708245333444,6.832601509325128,5.2409320754716875
XGBoost_log1p,UnifiedSchoolDistrict,Vallejo City Unified,18.0,0.6075920455231308,69153.45222222221,87131.91448120857,13.612272773743896,9.963372471711455
XGBoost_log1p,UnifiedSchoolDistrict,Valley Center-Pauma Unified,26.0,0.5251488445816374,128523.61038461539,210481.8727848674,13.352177280680896,8.973877981717107
XGBoost_log1p,UnifiedSchoolDistrict,Ventura Unified,63.0,0.7833189078791472,164983.33634920634,310313.6606776761,10.988350502538353,8.805058064516123
XGBoost_log1p,UnifiedSchoolDistrict,Vista Unified,82.0,0.677174139889788,98559.22756097562,152148.46605169144,9.339128532680627,6.314614655875527
XGBoost_log1p,UnifiedSchoolDistrict,Walnut Valley Unified,23.0,0.7884061811915463,254542.75652173915,565907.9285971979,10.586872329217407,8.555060606060607
XGBoost_log1p,UnifiedSchoolDistrict,West Contra Costa Unified,97.0,0.8542204160468991,109900.88247422682,157462.17747574285,12.428819590278623,10.21114461538462
XGBoost_log1p,UnifiedSchoolDistrict,West Covina Unified,16.0,0.9383708610601993,94523.42625,124683.76841724075,9.012118464876945,7.6218261559507505
XGBoost_log1p,UnifiedSchoolDistrict,Yosemite Unified,12.0,0.11885776484910038,80000.18083333333,101141.1473422856,16.350480745136583,13.560337707390651
XGBoost_log1p,UnifiedSchoolDistrict,Yucaipa-Calimesa Joint Unified,50.0,0.7547099409580557,73942.628,109329.04389482051,11.081293767073454,6.692319697215463
XGBoost_log1p,UnifiedSchoolDistrict,__missing__,3081.0,0.9235020526088151,132763.90609866925,268709.44277376577,9.662874472728971,6.797265882352941
XGBoost_log1p,large_error_direction,Largest errors: overpredicted,20.0,-1.6583318385348336,1885202.06,1992087.9659636233,72.82909683515464,62.504869458128084
XGBoost_log1p,large_error_direction,Largest errors: underpredicted,80.0,-0.7393941889774223,1964952.940625,2038809.0158703928,35.64907849096801,34.10457168961415
XGBoost_log1p,large_error_direction,Not top absolute-error rows,12438.0,0.9330438165068404,133595.86093262583,226355.01083890835,10.584153913329056,7.571597558082091
XGBoost_log1p,missing_feature_count_bin,0,4157.0,0.908019700468645,116252.19156362762,249115.93871744716,9.033681472377655,6.506955555555553
XGBoost_log1p,missing_feature_count_bin,1,4071.0,0.918947081608627,125592.1061262589,244815.50562106355,10.704522466806143,7.5852956521739054
XGBoost_log1p,missing_feature_count_bin,2-3,3887.0,0.8990620089940835,188334.0471957808,331154.3657341396,12.267786507171895,8.967475862068959
XGBoost_log1p,missing_feature_count_bin,4-5,417.0,0.8685054350765832,301469.48678657075,528393.3524982724,15.647078302738567,11.545902859561288
XGBoost_log1p,missing_feature_count_bin,>5,6.0,0.8792448745893126,708758.82,868825.9560145603,102.2286568844118,22.760354593326205
XGBoost_log1p,overall,overall,12538.0,0.908658870785564,148075.09927659915,289276.1334995161,10.843373312327909,7.654495102040817
XGBoost_log1p,prediction_direction,Overpredicted,5524.0,0.9059071853512947,128361.57267016654,235951.23161974637,12.33540723376753,7.818276231884058
XGBoost_log1p,prediction_direction,Underpredicted,7014.0,0.9065865303513679,163600.83651268893,325174.7839048886,9.668295556121397,7.57248277777778
XGBoost_log1p,price_extreme_band,High price: top quintile,2412.0,0.7507680206924443,405651.6901533997,596547.7423566341,14.181257659302133,11.667037655302364
XGBoost_log1p,price_extreme_band,Low price: bottom quintile,2475.0,0.30777568001091704,47017.99915555555,74430.64365738566,11.291312144728538,6.849862595419854
XGBoost_log1p,price_extreme_band,Middle price: Q2-Q4,7651.0,0.7352592268749051,99564.00080643053,152151.19668771312,9.646193119530448,6.976570446735401
XGBoost_raw,ClosePrice_quintile,Q1 lowest,2475.0,-0.06458486103573868,56501.657945050494,92303.5684183245,13.644672041894278,8.09737142857143
XGBoost_raw,ClosePrice_quintile,Q2,2534.0,-1.1427730462107402,64127.86168113654,96275.0072420475,9.290750403871103,6.31293724522634
XGBoost_raw,ClosePrice_quintile,Q3,2559.0,-1.9316053768533954,97413.75911293474,145329.00203386848,10.328124721841347,7.548051020408166
XGBoost_raw,ClosePrice_quintile,Q4,2558.0,-0.9538170256454528,155198.8420602033,223254.39940944765,11.391325399928164,8.53894105039143
XGBoost_raw,ClosePrice_quintile,Q5 highest,2412.0,0.7590939803281238,398007.85988805967,586498.8288932136,13.951002878566745,11.261084247967478
XGBoost_raw,CountyOrParish,Alameda,615.0,0.8490229406344106,206059.42782113818,329008.0513542334,13.625466397935662,8.953200000000006
XGBoost_raw,CountyOrParish,Butte,166.0,0.3110563613375512,68752.71740963856,165741.3019540039,12.711002477962753,9.537608894230763
XGBoost_raw,CountyOrParish,Contra Costa,630.0,0.9001390775110356,154489.11363492065,253570.0650919797,11.916853665991802,8.34416559174117
XGBoost_raw,CountyOrParish,Fresno,51.0,-0.20638119898119278,87927.08960784314,232678.8868228769,28.22038986837032,11.452385604113118
XGBoost_raw,CountyOrParish,Kern,125.0,0.5950368073068144,63549.146239999995,117688.74116164685,14.080636878001695,8.765746031746025
XGBoost_raw,CountyOrParish,Lake,46.0,0.6471511039966866,75342.8747826087,124332.67480506914,16.763539398101717,12.816135614973263
XGBoost_raw,CountyOrParish,Los Angeles,3021.0,0.8961253203398571,188466.73664349556,351058.1485449505,12.319247831955701,9.170316049382723
XGBoost_raw,CountyOrParish,Madera,28.0,0.537482703649711,58788.47892857143,87068.32294664814,13.019891304548663,9.689237421777214
XGBoost_raw,CountyOrParish,Merced,106.0,0.8434582660267952,40017.091037735845,59438.30438205649,8.60641547957855,5.6403149176318585
